"","Growth Form","Common Name","Other Common Names","Scientific Name","Ecoregion","Min Height","Max Height","Min Spread","Max Spread","Light","Water","Leaf Retention","Lifespan","Bloom Season","Bloom Color","Seasonal Interest","Soil","Wildlife Benefit","Native Habitat","Maintenence","Comments","References"
"","Herbaceous","Horsemint","Lemon Mint, Lemon Beebalm, Purple Horsemint, Plains Horsemint, Lemon Horsemint, Purple Lemon Mint","Monarda citriodora","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Western Gulf Coastal Plain","1","2","0.25","0.5","Sun, Part Shade","Low","Deciduous","Annual","Spring","White, Pink, Purple","Nectar","Sand, Loam, Clay, Limestone","Butterflies, Hummingbirds","Grassland","Leave flowers and seedheads on stalks for wildlife, or gather to dry for potpourri or seeds.","Lightly fragrant flowers dry naturally on stalks; good for potpourri. Leaves lemony scented when rubbed or crushed. Self-sows generously. Nectar: Spicebush Swallowtail.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48, 53. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 159. 4) https://www.wildflower.org/plants/result.php?id_plant=MOCI. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Monarda+citriodora&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13478&locationType=County&mapType=Normal., 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32280#null"
"","Wetland","Horsetail","Scouring-rush Horsetail, Scouring Rush, Canuela","Equisetum hyemale","Edwards Plateau, Texas Blackland Prairies","2","3","2","3","Sun, Part Shade, Shade","Medium","Evergreen","Perennial","No Bloom","No Bloom","","Sand, Loam, Clay, Limestone, Poor Drainage","","Wetland or Riparian","It is best to plant in a container with no holes and be watchful that it doesn't creep over the edge. It spreads easily.","Common scouring rush is a spreading, reed-like plant. A dense stand of scouring rush along the margin of an ornamental pool can be very attractive and will exclude weeds. Like other Pteridophytes (ferns and their relatives), scouring rush does not produce flowers or seeds. It can grow in shallow water or moist soil.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 375. 3) https://www.wildflower.org/plants/result.php?id_plant=EQHY. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Equisetum+hyemale&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=9613&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=17154#null."
"","Tree","Huisache","Texas Huisache, Sweet Acacia, Perfume Acacia, Mealy Acacia, Mealy Wattle, Cassie","Vachellia farnesiana","Chihuahuan Deserts, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies","15","25","15","20","Sun","Low","Deciduous","Perennial","Spring","Orange, Yellow","Seeds, Nectar, Flowers","Sand, Loam, Clay, Caliche, Dry","Butterflies, Birds, Deer, Bees","Grassland","Plant in low traffic area because of the thorns.","Small multi-branched tree with numerous sharp thorns. Flowers are small, fragrant, orange-yellow clusters. A beautiful tree that casts soft filtered light.  It can form dense thickets from suckers.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=VAFA. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Vachellia+farnesiana&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11896&locationType=County&mapType=Normal, 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183639#null"
"","Shrub","Illinois Bundleflower","Bundleflower, Prairie Bundle Flower, Prickleweed, Illinois Desmanthus, Prairie Mimosa","Desmanthus illinoensis","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","1","3","1","3","Sun","Medium","Deciduous","Perennial","Spring, Summer","White","Seeds, Nectar, Pollen","Sand, Loam, Clay","Butterflies, Birds","Woodland,Wetland or Riparian","","Fern-like leaves are twice pinnately compound; they fold in strong sunlight and when touched. Ball-shaped clusters of small whitish or greenish flowers are followed by flat, leathery, twisted seedpods. Blooms in summer and in fall after rains. Legumes enrich soil through nitrogen fixation. Considered one of the most important prairie legumes; seeds are important to upland game birds (quail, prairie chicken) and other wildlife.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=DEIL. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Desmanthus+illinoensis&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=10969&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26661#null."
"","Herbaceous","Indian Paintbrush","Texas Indian Paintbrush, Entireleaf Indian Paintbrush, Texas Paintbrush, Scarlet Paintbrush","Castilleja indivisa","East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies","0.5","1.5","1","1.5","Sun","Medium","Deciduous","Annual","Spring","White, Red, Orange, Yellow, Green","Nectar, Larval Host","Sand, Loam, Clay","Butterflies, Hummingbirds","Grassland","Transplanting paintbrush may kill it.","Castilleja species are hemiparasitic, especially on grasses, penetrating the host roots to obtain nutrients. Blooms can vary greatly from year to year. Larval Host: Buckeye Butterfly.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CAIN13. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Castilleja+indivisa&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=16376&locationType=County&mapType=Normal. 5) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 6) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 147. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=33064#null"
"","Grass & Sedge","Indian Ricegrass","Indian Millet, Sandgrass","Achnatherum hymenoides","Chihuahuan Deserts, High Plains","1","2","1","2","Sun","Low","Deciduous","Perennial","Summer","Yellow, Green","Seeds, Forage, Larval Host","Sand, Rocky, Calcareous, Deep","Browsers, Butterflies, Birds","Grassland","Indian Ricegrass is very drought tolerant and useful in land reclamation projects. Remove old clumps to allow self-sown seedlings room to develop. This grass can be mowed to 8 in. in early fall.  The seed has a hard coat that prolongs dormancy, taking up to two years for an area that has been seeded to become fully established.","Indian Ricegrass is a 1-2 ft., perennial bunchgrass. The sage-green, wiry foliage and ivory-colored seed heads give the grass a light, airy appearance. Foliage turns tan when dormant. Good erosion control for sand dunes. Larval Host: Skippers.","1)  Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ACHY. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Achnatherum+hymenoides&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=8235&locationType=County&mapType=Normal. 5)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg 130.131. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=507943#null"
"","Grass & Sedge","Indiangrass","Yellow Indiangrass, Indian Grass","Sorghastrum nutans","Chihuahuan Deserts, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","3","6","1","2","Sun, Part Shade, Shade","Medium","Deciduous","Perennial","Fall","Yellow","Seeds, Larval Host","Sand, Loam, Clay, Limestone, Poor Drainage","Butterflies, Birds, Small Mammals, Bees","Grassland","Leave dead stems standing through Fall and Winter for insect habitat. Cut back dead stems in February before Spring growth.","Bright golden flowers and blue-green blades make a nice garden accent or are nice in a moist swale with seep or Gulf muhly. Stays low most of the year and grows tall before blooming in early autumn, Native Habitat: Prairies; open woods; fields; dry slopes.. Larval Host: Pepper-and-Salt Skipper butterfly.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 133. 3) https://www.wildflower.org/plants/result.php?id_plant=SONU2. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Sorghastrum+nutans&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=19022&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=42102#null"
"","Grass & Sedge","Inland Sea Oats","Indian Wood Oats, Wild Oats, River Oats, Flathead Oats, Upland Oats, Upland Sea Oats","Chasmanthium latifolium","Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","2","4","2","3","Part Shade, Shade","Low, Medium","Deciduous","Perennial","Summer, Fall","Green","Seeds, Larval Host","Sand, Loam, Clay, Limestone, Calcareous, Poor Drainage, Moist","Butterflies, Birds","Woodland","Leave dry stalks for wildlife during the winter. Cut dead stalks in February before new shoots emerge.","Good understory plant; graceful, drooping wheat-like seed heads; re-seeds easily; appropriate for woodlands; prefers moist areas.   Grows on shaded slopes, low thickets and stream banks. Replaces Invasives: Maiden Grass, Chinese Silvergrass. Larval Host: Pepper and Salt Skipper, Bell's Roadside Skipper, and Bronze Roadside Skipper","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CHLA5. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Chasmanthium+latifolium&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=17947&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 128. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=41547#null"
"","Shrub","Kidneywood","Texas Kidneywood, Bee Brush, Vara Dulce, Palo Dulce","Eysenhardtia texana","Chihuahuan Deserts, East Central Texas Plains, Edwards Plateau, Southern Texas Plains, Texas Blackland Prairies","8","15","6","8","Sun, Part Shade","Very Low","Deciduous","Perennial","Spring, Summer","White","Forage, Nectar, Larval Host","Sand, Loam, Clay, Caliche, Well Drained","Butterflies, Deer, Bees","Grassland","Prune for shape, to remove suckers or to trim up into mini-tree form.","Fast growing, much-branched shrub with open, airy structure. Deciduous, finely divided leaves produce a pungent, citrusy smell when crushed. Flowers white, small, with a delicate fragrance, appearing intermittently from May to October. Bees flock to the ambrosial flowers, which bloom at intervals through the warm months. May temporarily lose leaves during a dry spell.  Larval Host: Dogface Butterfly.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 289. 3) https://www.wildflower.org/plants/result.php?id_plant=EYTE. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11058&locationType=County&mapType=Normal., 5) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26682#null"
"","Tree","Lacey Oak","Texas Blue Oak, Canyon Oak, Smoky Oak, Rock Oak","Quercus laceyi","Chihuahuan Deserts, Edwards Plateau","20","50","20","25","Sun, Part Shade","Very Low, Low","Deciduous","Perennial","Spring","Yellow","Fall Color, Nuts","Rocky, Limestone, Shallow","Birds, Small Mammals","Woodland","Prune for shape or to raise canopy","Ideal for small urban yards; slow growth; resistant to oak wilt. Leaves are deciduous, thick and waxy, oblong with a few shallow lobes. Foliage is peach-colored in spring and fall; dark-blue or grayish-green in summer. Summer foliage takes on a smoky appearance.  Provides cover for deer and birds.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) https://www.wildflower.org/plants/result.php?id_plant=QULA. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Quercus+laceyi&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=12159&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=195180#null"
"","Herbaceous","Lanceleaf Coreopsis","Lance-leaved Coreopsis, Lanceleaf Tickseed, Sand Coreopsis","Coreopsis lanceolata","Chihuahuan Deserts, Texas Blackland Prairies, Western Gulf Coastal Plain","1","2","0.5","1","Sun, Part Shade, Shade","Medium","Evergreen","Perennial","Spring","Yellow","Nectar","Sand, Loam, Clay, Acid, Calcareous, Well Drained","Beetles, Butterflies, Moths, Bees","Grassland,Woodland","Old blooms can be removed to prolong flowering. But it is also nice to let it go to seed to attract birds and other wildlife.","Easy to grow, drought tolerant but is not a reliably perennial. However it self-sows readily and can become weedy. The showy golden flowers are nice in a vase and are a popular plant for visiting pollinators. Nectar: Buckeye.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=COLA5. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Coreopsis+lanceolata&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=2648&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt. 6) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 52"
"","Herbaceous","Late Boneset","White Boneset, Lateflowering Thoroughwort, Late-flowering Boneset","Eupatorium serotinum","East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","1","3","3","4","Part Shade","Medium","Deciduous","Perennial","Fall","White","Nectar","Sand, Loam, Clay","Butterflies, Bees","Grassland","Appears to require no maintenance that we have discovered.","Prefers moist areas, but can tolerate some drought, although some lower leaves may brown and drop off. It sailed right through the hot, dry summer. It doesn’t show much tendency to take over and pretty much minds its manners. It likes to be around the water feature in our backyard, but it’s not addicted to it.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=EUSE2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Eupatorium+serotinum&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=3075&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=35981#null"
"","Herbaceous","Lazy Daisy","Arkansas Lazy Daisy, Arkansas Doze-daisy","Aphanostephus skirrhobasis","Central Great Plains, Cross Timbers, East Central Texas Plains, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies","1","2","0.5","1","Sun","Low, Medium","Deciduous","Annual","Spring, Summer, Fall","White, Purple","Flowers","Sand, Well Drained, Dry","","Grassland","Very good annual for sand or sandy loam soils. Great in a rock garden or as a border, or ground cover.","The white blossoms are pink on the underside, 1 flower to a stem. Leaves are 1/2-2 1/2 inches long, the lower ones sharply toothed, the upper ones smooth. Stems and leaves have soft hairs. Flowers are closed all morning, opening by midday and giving the plant its common name.","1)  Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=APSK. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Aphanostephus+skirrhobasis&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=2106&locationType=County&mapType=Normal. 5)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg 144. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36543#null"
"","Herbaceous","Leavenworth Eryngo","Eryngo, False Purple Thistle","Eryngium leavenworthii","Cross Timbers, Edwards Plateau, Texas Blackland Prairies","1","3","1","2","Sun, Part Shade","Low","Deciduous","Annual","Summer","Purple","Seeds, Nectar","Sand, Loam, Clay, Caliche, Calcareous, Moist, Dry","Butterflies, Birds, Bees","Grassland,Woodland","It is desirable to wear a thick pair of gloves if one cuts the flowers to protect hands from sharp spines.","Splashing fields with brilliant purple, it provides an excellent source for late summer and early fall color. Eryngo is an unusual prickly annual with a leafy stem and broadly branched upper portion. Most of the plant is some shade of purple. Flowers are minute, purple, and mingled with small, spiny bracts in an elongated, terminal, head-like cluster. The leaves are deeply lobed and tipped with stiff spines.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 151. 3) https://www.wildflower.org/plants/result.php?id_plant=ERLE11. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=1065&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=29494#null"
"","Herbaceous","Limoncillo","Lemonscent, Crownseed Pectis, Lemon-scented Pectis, Lemonscent Pectis, Lemonweed, Chinchweed, Fetid Marigold","Pectis angustifolia","Chihuahuan Deserts, Edwards Plateau, Southern Texas Plains","0.5","0.75","1","2","Sun, Part Shade","Low","Deciduous","Annual","Summer, Fall","Red, Yellow","Seeds, Nectar","Sand, Loam, Gravelly, Caliche","Birds, Nectar Insects, Bees","Grassland,Woodland","A good plant for rock gardens or borders.","Lemonscent or limoncillo is a low growing annual, with slender, leafy stems. The fleshy, aromatic, linear leaves are lemon-scented. Yellow, daisy, blooms occur in clusters.  

 ","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 161. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=3974&locationType=County&mapType=Normal. 4) https://www.wildflower.org/plants/result.php?id_plant=PEAN. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Pectis+angustifolia&formsubmit=Search+Terms, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=38176#null"
"","Vine","Lindheimer's Morning Glory","Blue Morning Glory","Ipomoea lindheimeri","Chihuahuan Deserts, Edwards Plateau","3","15","0.5","1","Sun","Low","Deciduous","Perennial","Summer, Fall","White, Blue","Nectar","Rocky","Butterflies, Bees","Grassland","Prune in spring if needed.","Hardy, long-blooming twining vine grows well under dry conditions. Delicate, attractive lobed foliage with fragrant flowers that open in morning and close before noon. Can be either low climbing or trailing. Butterfly nectar source. Native Habitat: ravines, and stream bottoms","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=IPLI. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=7867&locationType=County&mapType=Normal, 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30780#null"
"","Shrub","Lindheimer's Senna","Velvet Leaf Senna","Senna lindheimeriana","Chihuahuan Deserts, Edwards Plateau","3","6","0.5","1","Sun","Low","Deciduous","Perennial","Summer, Fall","Yellow","Seeds, Nectar, Larval Host","Sand, Rocky, Limestone, Dry","Butterflies, Birds","Grassland","Cut back after becomes dormant.","Effective in a wildflower garden as either a specimen or background plant. Gray velvet-like leaves. (Another common name is Velvet Leaf Senna). Annual/Perennial. Nectar: Sleepy Orange and Sulphur butterflies. Larval Host: Cloudless Giant Sulphur.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 53.. 3) https://www.wildflower.org/plants/result.php?id_plant=SELI4. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Senna+lindheimeriana&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=11690&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=505159#null"
"","Grass & Sedge","Little Bluestem","Popotillo Azul","Schizachyrium scoparium","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies, Western Gulf Coastal Plain","2","4","1.5","2","Sun, Part Shade","Low","Deciduous","Perennial","Winter, Fall","White, Green, Brown","Seeds, Larval Host","Sand, Loam, Clay, Limestone, Well Drained","Butterflies, Birds, Small Mammals","Grassland,Woodland","It readily reseeds so little bluestem is not recommended for small gardens. Little bluestem is tolerant of a wide range of soils but will not tolerate wetlands or sub-irrigated sites.","Very ornamental bunchgrass. Stems turn radiant mahogany, with silver seed heads in the fall all through winter. Larval Host: many species of Skippers.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 132. 3) https://www.wildflower.org/plants/result.php?id_plant=SCSC. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Schizachyrium+scoparium&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=18975&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=42076#null"
"","Shrub","Little Leaf Sumac","Desert Sumac, Correosa, Agritos","Rhus microphylla","Chihuahuan Deserts, Edwards Plateau, High Plains, Southern Texas Plains","4","8","8","20","Sun, Part Shade","Low","Deciduous","Perennial","Spring","White, Pink, Green","Fruit, Fall Color, Forage","Sand, Loam, Clay, Well Drained","Browsers, Birds, Small Mammals, Bees","Grassland","Sumacs make attractive specimen, hedge or background plants and are important wildlife plants.  ","Much-branched shrub with small leaves composed of tiny, leathery, shiny leaflets. Axillary and terminal clusters of white flowers, which appear before the leaves, are followed by 2-4 in. clusters of orange-red berries. Flowers and fruits are usually not very numerous. Fall color is muted rose and purple. They are fast growing, generally pest and disease-free, and drought-tolerant. Colonies are often single-sexed, formed from a single, suckering parent. Only female plants produce flowers and berries.
","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 258. 3) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=862&locationType=County&mapType=Normal. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Rhus+microphylla&formsubmit=Search+Terms. 6) https://www.wildflower.org/plants/result.php?id_plant=RHMI3, 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28788#null"
"","Tree","Little Walnut","Nogalito, Texas Walnut, Texas Black Walnut, River Walnut, Nogalillo, Namboca","Juglans microcarpa","East Central Texas Plains, Edwards Plateau","20","30","20","30","Sun, Part Shade","Low, Medium","Deciduous","Perennial","Spring","White, Green","Fall Color, Nuts","Loam, Clay, Rocky, Alkaline","Birds, Small Mammals","Woodland","Prune to shape","Small, deciduous tree or shrub, usually only 20’ in height. Its smooth or lightly furrowed branches form a broad, rounded crown. Compound leaves are long, narrow and yellow-green. Walnuts are smallest of Juglans species.  Squirrels and other rodents consume these nuts, which are mostly shell. Drought-tolerant and native to western half of Texas in scattered canyons.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) https://www.wildflower.org/plants/result.php?id_plant=JUMI. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Juglans+microcarpa&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13102&locationType=County&mapType=No6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19253#nullrmal. "
"","Tree","Live Oak","Southern Live Oak","Quercus virginiana","Gulf Coast Prairies and Marshes, Texas Blackland Prairies","40","50","60","60","Sun","Medium","Semi Evergreen","Perennial","Spring","Yellow","Nuts, Larval Host","Sand, Loam, Clay, Acid, Poor Drainage, Neutral","Butterflies, Birds, Small Mammals","Woodland","Prune only during hottest & coldest months; paint any pruning wounds to prevent oak wilt.","Popular in residential areas throughout the state. Briefly drops leaves in spring then immediately replaces them. Saline tolerant and tolerant of compaction.  Oak wilt susceptible. Native Habitat  coastal plains; moist hammocks. Larval Host: Horace's Duskywing, White Hairstreak, Northern Hairstreak.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 345, 4) https://www.wildflower.org/plants/result.php?id_plant=QUVI. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Quercus+virginiana&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=12064&locationType=County&mapType=Normal. 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19283#null"
"","Wetland","Lizard Tail","Lizard's Tail, Breastweed, Water Dragon","Saururus cernuus","Texas Blackland Prairies, Western Gulf Coastal Plain","1","3","1","3","Sun, Part Shade","High","Deciduous","Perennial","Spring, Summer","White","Flowers","Moist, Mud","","Wetland or Riparian","Can withstand saturated soils of up to 4 in. inundation.","The common name refers to the long, finger-like flowers that appear during the summer months. Crushed foliage has a pleasant, sassafras aroma. Lizard tail is a great spreading groundcover for moist soils, shallow water, and containers. Good for wetland gardens and habitat. Colonizes large areas.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2)  Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 382. 3) https://www.wildflower.org/plants/result.php?id_plant=SACE. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Saururus+cernuus&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=22874&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18221#null"
